machine_id,block_id,day,shift_id,assigned
sk_03,B77363,9,S1,1
fb_01,B78910,9,S2,1
fb_02,B74735,9,S2,1
fb_03,B74735,9,S2,1
ld_01,B77363,9,S2,1
ld_02,B82792,9,S2,1
ld_03,B83275,9,S2,1
pr_01,B78910,9,S2,1
pr_02,B78910,9,S2,1
pr_03,B77651,9,S2,1
sk_01,B77363,9,S2,1
sk_02,B77363,9,S2,1
sk_03,B77363,9,S2,1
fb_01,B78910,9,S3,1
fb_02,B74735,9,S3,1
fb_03,B74735,9,S3,1
pr_01,B77651,9,S3,1
pr_02,B77651,9,S3,1
pr_03,B74735,9,S3,1
sk_01,B77363,9,S3,1
sk_02,B77363,9,S3,1
sk_03,B80395,9,S3,1
fb_01,B78910,10,S1,1
fb_02,B78910,10,S1,1
fb_03,B83630,10,S1,1
ld_01,B78910,10,S1,1
ld_02,B77363,10,S1,1
ld_03,B78910,10,S1,1
pr_01,B77363,10,S1,1
pr_02,B77363,10,S1,1
pr_03,B77363,10,S1,1
sk_01,B74735,10,S1,1
sk_02,B74735,10,S1,1
sk_03,B77363,10,S1,1
fb_01,B82792,10,S2,1
fb_02,B83630,10,S2,1
fb_03,B83630,10,S2,1
ld_01,B77651,10,S2,1
ld_02,B77651,10,S2,1
ld_03,B77363,10,S2,1
pr_01,B77363,10,S2,1
pr_02,B77363,10,S2,1
pr_03,B74735,10,S2,1
sk_01,B74735,10,S2,1
sk_02,B78910,10,S2,1
sk_03,B78910,10,S2,1
fb_01,B80395,10,S3,1
fb_02,B83630,10,S3,1
fb_03,B77651,10,S3,1
pr_01,B74735,10,S3,1
pr_02,B77651,10,S3,1
pr_03,B74735,10,S3,1
sk_01,B78910,10,S3,1
sk_02,B78910,10,S3,1
sk_03,B84093,10,S3,1
fb_01,B77651,11,S1,1
fb_02,B76352,11,S1,1
fb_03,B78910,11,S1,1
ld_01,B74735,11,S1,1
ld_02,B77363,11,S1,1
ld_03,B74735,11,S1,1
pr_01,B77363,11,S1,1
pr_02,B77363,11,S1,1
pr_03,B84093,11,S1,1
sk_01,B77651,11,S1,1
sk_02,B78910,11,S1,1
sk_03,B78910,11,S1,1
fb_01,B78567,11,S2,1
fb_02,B76352,11,S2,1
fb_03,B76352,11,S2,1
ld_01,B77363,11,S2,1
ld_02,B77363,11,S2,1
ld_03,B77363,11,S2,1
pr_01,B78910,11,S2,1
pr_02,B78910,11,S2,1
pr_03,B74735,11,S2,1
sk_01,B82792,11,S2,1
