machine_id,block_id,day,shift_id,assigned
sk_02,B21443,16,S2,1
fb_01,B21443,16,S3,1
fb_02,B21443,16,S3,1
ld_01,B20673,16,S3,1
pr_01,B18200,16,S3,1
sk_01,B21443,16,S3,1
sk_02,B21443,16,S3,1
fb_01,B21443,17,S1,1
fb_02,B21443,17,S1,1
ld_01,B18200,17,S1,1
pr_01,B20673,17,S1,1
sk_01,B20673,17,S1,1
sk_02,B18200,17,S1,1
fb_01,B31203,17,S2,1
fb_02,B20631,17,S2,1
ld_01,B20673,17,S2,1
pr_01,B21443,17,S2,1
sk_01,B20673,17,S2,1
sk_02,B18200,17,S2,1
fb_01,B18200,17,S3,1
fb_02,B20631,17,S3,1
ld_01,B20673,17,S3,1
pr_01,B21443,17,S3,1
sk_01,B20673,17,S3,1
sk_02,B21443,17,S3,1
fb_01,B20631,18,S1,1
fb_02,B20631,18,S1,1
ld_01,B20673,18,S1,1
pr_01,B20673,18,S1,1
sk_01,B20673,18,S1,1
sk_02,B18200,18,S1,1
fb_01,B20631,18,S2,1
fb_02,B20631,18,S2,1
ld_01,B21443,18,S2,1
pr_01,B18200,18,S2,1
sk_01,B20673,18,S2,1
sk_02,B18200,18,S2,1
fb_01,B20631,18,S3,1
fb_02,B20631,18,S3,1
ld_01,B20673,18,S3,1
pr_01,B18200,18,S3,1
sk_01,B20673,18,S3,1
sk_02,B18200,18,S3,1
fb_01,B31203,19,S1,1
fb_02,B20631,19,S1,1
ld_01,B18200,19,S1,1
pr_01,B18200,19,S1,1
sk_01,B20673,19,S1,1
sk_02,B21443,19,S1,1
fb_01,B18200,19,S2,1
fb_02,B20631,19,S2,1
ld_01,B21443,19,S2,1
pr_01,B18200,19,S2,1
sk_01,B20673,19,S2,1
sk_02,B21443,19,S2,1
fb_01,B20631,19,S3,1
fb_02,B18200,19,S3,1
ld_01,B18200,19,S3,1
pr_01,B18200,19,S3,1
sk_01,B20673,19,S3,1
sk_02,B21443,19,S3,1
fb_01,B18200,20,S1,1
fb_02,B18200,20,S1,1
ld_01,B18200,20,S1,1
pr_01,B20673,20,S1,1
sk_01,B20673,20,S1,1
sk_02,B21443,20,S1,1
fb_01,B18200,20,S2,1
fb_02,B18200,20,S2,1
ld_01,B18200,20,S2,1
pr_01,B21443,20,S2,1
sk_01,B20673,20,S2,1
sk_02,B21443,20,S2,1
fb_01,B31203,20,S3,1
fb_02,B18200,20,S3,1
ld_01,B20673,20,S3,1
pr_01,B21443,20,S3,1
sk_01,B20673,20,S3,1
sk_02,B21443,20,S3,1
fb_01,B18200,21,S1,1
fb_02,B18200,21,S1,1
ld_01,B20673,21,S1,1
pr_01,B20673,21,S1,1
sk_01,B20673,21,S1,1
sk_02,B21443,21,S1,1
fb_01,B18200,21,S2,1
fb_02,B18200,21,S2,1
ld_01,B20673,21,S2,1
pr_01,B21443,21,S2,1
sk_01,B20673,21,S2,1
sk_02,B21443,21,S2,1
fb_01,B18200,21,S3,1
fb_02,B18200,21,S3,1
ld_01,B20673,21,S3,1
pr_01,B21443,21,S3,1
sk_01,B20673,21,S3,1
sk_02,B21443,21,S3,1
fb_01,B18200,22,S1,1
fb_02,B18200,22,S1,1
ld_01,B20673,22,S1,1
pr_01,B20673,22,S1,1
sk_01,B20673,22,S1,1
sk_02,B21443,22,S1,1
fb_01,B31203,22,S2,1
fb_02,B18200,22,S2,1
ld_01,B21443,22,S2,1
pr_01,B21443,22,S2,1
sk_01,B20673,22,S2,1
sk_02,B18200,22,S2,1
fb_01,B18200,22,S3,1
fb_02,B18200,22,S3,1
ld_01,B20673,22,S3,1
pr_01,B21443,22,S3,1
sk_01,B20673,22,S3,1
sk_02,B21443,22,S3,1
fb_01,B18200,23,S1,1
fb_02,B18200,23,S1,1
ld_01,B20673,23,S1,1
pr_01,B20673,23,S1,1
sk_01,B20673,23,S1,1
sk_02,B21443,23,S1,1
fb_01,B18200,23,S2,1
fb_02,B18200,23,S2,1
ld_01,B20673,23,S2,1
pr_01,B21443,23,S2,1
sk_01,B20673,23,S2,1
sk_02,B21443,23,S2,1
fb_01,B18200,23,S3,1
fb_02,B18200,23,S3,1
ld_01,B20673,23,S3,1
pr_01,B21443,23,S3,1
sk_01,B20673,23,S3,1
sk_02,B21443,23,S3,1
fb_01,B31203,24,S1,1
fb_02,B18200,24,S1,1
ld_01,B20673,24,S1,1
pr_01,B20673,24,S1,1
sk_01,B20673,24,S1,1
sk_02,B18200,24,S1,1
fb_01,B18200,24,S2,1
fb_02,B18200,24,S2,1
ld_01,B20673,24,S2,1
pr_01,B21443,24,S2,1
sk_01,B20673,24,S2,1
sk_02,B21443,24,S2,1
fb_01,B18200,24,S3,1
fb_02,B18200,24,S3,1
ld_01,B21443,24,S3,1
pr_01,B21443,24,S3,1
sk_01,B20673,24,S3,1
sk_02,B21443,24,S3,1
fb_01,B18200,25,S1,1
fb_02,B18200,25,S1,1
ld_01,B20673,25,S1,1
pr_01,B20673,25,S1,1
sk_01,B20673,25,S1,1
sk_02,B21443,25,S1,1
fb_01,B18200,25,S2,1
fb_02,B18200,25,S2,1
ld_01,B20673,25,S2,1
pr_01,B21443,25,S2,1
sk_01,B20673,25,S2,1
sk_02,B21443,25,S2,1
fb_01,B31203,25,S3,1
fb_02,B18200,25,S3,1
ld_01,B21443,25,S3,1
pr_01,B21443,25,S3,1
sk_01,B20673,25,S3,1
sk_02,B18200,25,S3,1
fb_01,B18200,26,S1,1
fb_02,B18200,26,S1,1
ld_01,B20673,26,S1,1
pr_01,B20673,26,S1,1
sk_01,B20673,26,S1,1
sk_02,B21443,26,S1,1
fb_01,B18200,26,S2,1
fb_02,B18200,26,S2,1
ld_01,B20673,26,S2,1
pr_01,B21443,26,S2,1
sk_01,B20673,26,S2,1
sk_02,B21443,26,S2,1
fb_01,B18200,26,S3,1
fb_02,B18200,26,S3,1
ld_01,B21443,26,S3,1
pr_01,B20673,26,S3,1
sk_01,B20673,26,S3,1
sk_02,B21443,26,S3,1
fb_01,B18200,27,S1,1
fb_02,B18200,27,S1,1
ld_01,B20673,27,S1,1
pr_01,B20673,27,S1,1
sk_01,B20673,27,S1,1
sk_02,B21443,27,S1,1
fb_01,B31203,27,S2,1
fb_02,B18200,27,S2,1
ld_01,B21443,27,S2,1
pr_01,B21443,27,S2,1
sk_01,B20673,27,S2,1
sk_02,B18200,27,S2,1
fb_01,B18200,27,S3,1
fb_02,B18200,27,S3,1
ld_01,B20673,27,S3,1
pr_01,B21443,27,S3,1
sk_01,B20673,27,S3,1
sk_02,B21443,27,S3,1
fb_01,B18200,28,S1,1
fb_02,B18200,28,S1,1
ld_01,B20673,28,S1,1
pr_01,B20673,28,S1,1
sk_01,B20673,28,S1,1
sk_02,B21443,28,S1,1
fb_01,B18200,28,S2,1
fb_02,B18200,28,S2,1
ld_01,B20673,28,S2,1
pr_01,B21443,28,S2,1
sk_01,B20673,28,S2,1
sk_02,B21443,28,S2,1
fb_01,B18200,28,S3,1
fb_02,B18200,28,S3,1
ld_01,B21443,28,S3,1
pr_01,B18200,28,S3,1
sk_01,B20673,28,S3,1
sk_02,B21443,28,S3,1
fb_01,B31203,29,S1,1
fb_02,B18200,29,S1,1
ld_01,B18200,29,S1,1
pr_01,B20673,29,S1,1
sk_01,B20673,29,S1,1
sk_02,B18200,29,S1,1
fb_01,B18200,29,S2,1
fb_02,B18200,29,S2,1
ld_01,B20673,29,S2,1
pr_01,B21443,29,S2,1
sk_01,B20673,29,S2,1
sk_02,B21443,29,S2,1
fb_01,B18200,29,S3,1
fb_02,B18200,29,S3,1
ld_01,B20673,29,S3,1
pr_01,B21443,29,S3,1
sk_01,B20673,29,S3,1
sk_02,B21443,29,S3,1
fb_01,B18200,30,S1,1
fb_02,B18200,30,S1,1
ld_01,B20673,30,S1,1
pr_01,B20673,30,S1,1
sk_01,B21443,30,S1,1
sk_02,B21443,30,S1,1
fb_01,B18200,30,S2,1
fb_02,B18200,30,S2,1
ld_01,B20673,30,S2,1
pr_01,B21443,30,S2,1
sk_01,B20673,30,S2,1
sk_02,B21443,30,S2,1
fb_01,B31203,30,S3,1
fb_02,B18200,30,S3,1
ld_01,B21443,30,S3,1
pr_01,B18200,30,S3,1
sk_01,B20673,30,S3,1
sk_02,B18200,30,S3,1
fb_01,B18200,31,S1,1
fb_02,B18200,31,S1,1
ld_01,B18200,31,S1,1
pr_01,B20673,31,S1,1
sk_01,B20673,31,S1,1
sk_02,B21443,31,S1,1
fb_01,B18200,31,S2,1
fb_02,B18200,31,S2,1
ld_01,B20673,31,S2,1
pr_01,B21443,31,S2,1
sk_01,B20673,31,S2,1
sk_02,B21443,31,S2,1
fb_01,B18200,31,S3,1
fb_02,B18200,31,S3,1
ld_01,B20673,31,S3,1
pr_01,B21443,31,S3,1
sk_01,B20673,31,S3,1
sk_02,B21443,31,S3,1
fb_01,B31203,32,S1,1
fb_02,B18200,32,S1,1
ld_01,B20673,32,S1,1
pr_01,B20673,32,S1,1
sk_01,B20673,32,S1,1
sk_02,B18200,32,S1,1
fb_01,B18200,32,S2,1
fb_02,B18200,32,S2,1
ld_01,B20673,32,S2,1
pr_01,B21443,32,S2,1
sk_01,B20673,32,S2,1
sk_02,B21443,32,S2,1
fb_01,B18200,32,S3,1
