file,context,size,sub_days,theta_weeks,lock_days,solver,objective_iteration0,num_iterations,time_limited_iterations,time_limit_fraction,optimal_iterations,total_locked_assignments,master_days
pg_6_sub28_lock7_sa_20260305_231847.json,pg,6,28,4.0,7,sa_20260305,10413.260361999997,4,0,0.0,0,413,28
ni_6_sub28_lock7_sa_20260305_112442.json,ni,6,28,4.0,7,sa_20260305,-228022.64370099996,4,0,0.0,0,410,28
ka_6_sub28_lock7_sa_20260305_110018.json,ka,6,28,4.0,7,sa_20260305,15847.597830999988,4,0,0.0,0,362,28
pg_6_sub28_lock14_mip_20260302_075816.json,pg,6,28,4.0,14,mip_20260302,,2,2,1.0,0,0,28
ni_6_sub28_lock14_mip_20260304_120605.json,ni,6,28,4.0,14,mip_20260304,,2,1,0.5,1,164,28
ka_6_sub28_lock14_mip_20260305_122618.json,ka,6,28,4.0,14,mip_20260305,30913.355594999994,2,1,0.5,1,223,28
pg_6_sub28_lock14_sa_20260302_075816.json,pg,6,28,4.0,14,sa_20260302,11413.260361999997,2,0,0.0,0,439,28
ni_6_sub28_lock14_sa_20260304_120605.json,ni,6,28,4.0,14,sa_20260304,-227022.64370099996,2,0,0.0,0,458,28
ka_6_sub28_lock14_sa_20260305_122618.json,ka,6,28,4.0,14,sa_20260305,15847.597830999988,2,0,0.0,0,384,28
pg_6_sub56_lock1_mip_20260302_085915.json,pg,6,56,8.0,1,mip_20260302,67923.96290000003,56,37,0.6607142857142857,19,155,56
ni_6_sub56_lock1_mip_20260304_124046.json,ni,6,56,8.0,1,mip_20260304,,56,36,0.6428571428571429,20,164,56
pg_6_sub56_lock1_sa_20260302_085915.json,pg,6,56,8.0,1,sa_20260302,56923.96289999997,56,0,0.0,0,336,56
ni_6_sub56_lock1_sa_20260304_124046.json,ni,6,56,8.0,1,sa_20260304,-136794.643701,56,0,0.0,0,336,56
pg_6_sub56_lock7_mip_20260303_062332.json,pg,6,56,8.0,7,mip_20260303,67923.96290000003,8,6,0.75,2,164,56
ka_6_sub56_lock7_mip_20260304_234335.json,ka,6,56,8.0,7,mip_20260304,30913.355594999994,8,3,0.375,5,364,56
ni_6_sub56_lock7_mip_20260305_105213.json,ni,6,56,8.0,7,mip_20260305,,8,6,0.75,2,170,56
pg_6_sub56_lock7_mip_20260305_231941.json,pg,6,56,8.0,7,mip_20260305,,8,7,0.875,1,74,56
ni_6_sub56_lock7_mip_20260305_112603.json,ni,6,56,8.0,7,mip_20260305,,8,6,0.75,2,170,56
pg_6_sub56_lock7_sa_20260303_062332.json,pg,6,56,8.0,7,sa_20260303,56923.96289999997,8,0,0.0,0,831,56
ni_6_sub56_lock7_sa_20260305_123224.json,ni,6,56,8.0,7,sa_20260305,-143794.643701,8,0,0.0,0,810,56
ka_6_sub56_lock7_sa_20260305_004026.json,ka,6,56,8.0,7,sa_20260305,12913.355594999986,8,0,0.0,0,734,56
ni_6_sub56_lock7_sa_20260305_105213.json,ni,6,56,8.0,7,sa_20260305,-136794.643701,8,0,0.0,0,810,56
pg_6_sub56_lock7_sa_20260306_003329.json,pg,6,56,8.0,7,sa_20260306,56923.96289999997,8,0,0.0,0,830,56
pg_6_sub56_lock14_mip_20260303_094839.json,pg,6,56,8.0,14,mip_20260303,67923.96290000003,4,3,0.75,1,185,56
ni_6_sub56_lock14_mip_20260305_141113.json,ni,6,56,8.0,14,mip_20260305,,4,3,0.75,1,164,56
pg_6_sub56_lock14_sa_20260303_094839.json,pg,6,56,8.0,14,sa_20260303,56923.96289999997,4,0,0.0,0,881,56
ni_6_sub56_lock14_sa_20260305_141113.json,ni,6,56,8.0,14,sa_20260305,-136794.643701,4,0,0.0,0,909,56
pg_6_sub112_lock1_mip_20260303_113809.json,pg,6,112,16.0,1,mip_20260303,67923.96290000001,112,37,0.33035714285714285,75,505,112
pg_6_sub112_lock1_sa_20260303_113809.json,pg,6,112,16.0,1,sa_20260303,59923.962899999984,112,0,0.0,0,672,112
pg_6_sub112_lock7_mip_20260304_184126.json,pg,6,112,16.0,7,mip_20260304,67923.96290000001,16,6,0.375,10,582,112
pg_6_sub112_lock7_sa_20260304_184126.json,pg,6,112,16.0,7,sa_20260304,59923.962899999984,16,0,0.0,0,1669,112
pg_6_sub112_lock14_mip_20260304_233818.json,pg,6,112,16.0,14,mip_20260304,67923.96290000001,8,3,0.375,5,565,112
pg_6_sub112_lock14_sa_20260304_233818.json,pg,6,112,16.0,14,sa_20260304,59923.962899999984,8,0,0.0,0,1767,112
pg_18_sub14_lock1_mip_20260305_022249.json,pg,18,14,2.0,1,mip_20260305,,14,12,0.8571428571428571,2,16,14
pg_18_sub14_lock1_sa_20260305_022249.json,pg,18,14,2.0,1,sa_20260305,-468484.983972,14,0,0.0,0,126,14
ka_18_sub14_lock7_mip_20260305_004241.json,ka,18,14,2.0,7,mip_20260305,,2,2,1.0,0,0,14
pg_18_sub14_lock7_mip_20260305_083630.json,pg,18,14,2.0,7,mip_20260305,,2,2,1.0,0,0,14
ni_18_sub14_lock7_mip_20260305_123943.json,ni,18,14,2.0,7,mip_20260305,,2,2,1.0,0,0,14
pg_18_sub14_lock7_mip_20260306_003620.json,pg,18,14,2.0,7,mip_20260306,,2,2,1.0,0,0,14
ka_18_sub14_lock7_sa_20260305_010336.json,ka,18,14,2.0,7,sa_20260305,-38040.31172300002,2,0,0.0,0,361,14
ni_18_sub14_lock7_sa_20260305_130046.json,ni,18,14,2.0,7,sa_20260305,-665064.5861739999,2,0,0.0,0,339,14
pg_18_sub14_lock7_sa_20260305_083630.json,pg,18,14,2.0,7,sa_20260305,-468484.983972,2,0,0.0,0,345,14
pg_18_sub14_lock7_sa_20260306_005717.json,pg,18,14,2.0,7,sa_20260306,-468484.983972,2,0,0.0,0,345,14
pg_18_sub14_lock14_mip_20260305_093857.json,pg,18,14,2.0,14,mip_20260305,,1,1,1.0,0,0,14
pg_18_sub14_lock14_sa_20260305_093857.json,pg,18,14,2.0,14,sa_20260305,-468484.983972,1,0,0.0,0,404,14
pg_18_sub28_lock1_mip_20260305_101049.json,pg,18,28,4.0,1,mip_20260305,,28,26,0.9285714285714286,2,16,28
pg_18_sub28_lock1_sa_20260305_101049.json,pg,18,28,4.0,1,sa_20260305,-360643.851046,28,0,0.0,0,252,28
ka_18_sub28_lock7_mip_20260305_010440.json,ka,18,28,4.0,7,mip_20260305,,4,4,1.0,0,0,28
ni_18_sub28_lock7_mip_20260305_130142.json,ni,18,28,4.0,7,mip_20260305,,4,4,1.0,0,0,28
ka_18_sub28_lock7_sa_20260305_014757.json,ka,18,28,4.0,7,sa_20260305,-44613.865853000025,4,0,0.0,0,716,28
ni_18_sub28_lock7_sa_20260305_134444.json,ni,18,28,4.0,7,sa_20260305,-560148.5861739999,4,0,0.0,0,659,28
ka_18_sub56_lock7_mip_20260305_015112.json,ka,18,56,8.0,7,mip_20260305,,8,8,1.0,0,0,56
ni_18_sub56_lock7_mip_20260305_134841.json,ni,18,56,8.0,7,mip_20260305,,8,8,1.0,0,0,56
ka_18_sub56_lock7_sa_20260305_032310.json,ka,18,56,8.0,7,sa_20260305,-69613.86585300002,8,0,0.0,0,1440,56
ni_18_sub56_lock7_sa_20260305_151951.json,ni,18,56,8.0,7,sa_20260305,-454314.04554800014,8,0,0.0,0,1294,56
ni_40_sub14_lock7_mip_20260305_154236.json,ni,40,14,2.0,7,mip_20260305,,2,2,1.0,0,0,14
ka_40_sub14_lock7_mip_20260305_033129.json,ka,40,14,2.0,7,mip_20260305,,2,2,1.0,0,0,14
ka_40_sub14_lock7_sa_20260305_040056.json,ka,40,14,2.0,7,sa_20260305,-403387.805251,2,0,0.0,0,689,14
ni_40_sub14_lock7_sa_20260305_161159.json,ni,40,14,2.0,7,sa_20260305,-1449799.476543,2,0,0.0,0,627,14
ka_40_sub28_lock7_mip_20260305_040445.json,ka,40,28,4.0,7,mip_20260305,,4,4,1.0,0,0,28
ni_40_sub28_lock7_mip_20260305_161529.json,ni,40,28,4.0,7,mip_20260305,,4,4,1.0,0,0,28
ni_40_sub28_lock7_sa_20260305_172721.json,ni,40,28,4.0,7,sa_20260305,-1223763.476543,4,0,0.0,0,1242,28
ka_40_sub28_lock7_sa_20260305_051654.json,ka,40,28,4.0,7,sa_20260305,-919701.363741,4,0,0.0,0,1387,28
ka_40_sub56_lock7_mip_20260305_053645.json,ka,40,56,8.0,7,mip_20260305,,8,8,1.0,0,0,56
ni_40_sub56_lock7_mip_20260305_174303.json,ni,40,56,8.0,7,mip_20260305,,8,8,1.0,0,0,56
ni_40_sub56_lock7_sa_20260305_210039.json,ni,40,56,8.0,7,sa_20260305,-893012.519225,8,0,0.0,0,2487,56
ka_40_sub56_lock7_sa_20260305_085720.json,ka,40,56,8.0,7,sa_20260305,-1249625.6559470005,8,0,0.0,0,2791,56
